journal_diameter_mm,ligament_mm,station_above_U_mm,support_span_mm,bearing_width_mm,max_Kt_checked,full_Kt_coverage,ROBUST_WITHIN_SCREEN,worst_MS_ultimate_strength,worst_strength_Kt,worst_strength_case,worst_MS_ultimate_bearing,ultimate_bearing_pressure_MPa
22.0,15.0,524.780356685791,120.0,20.0,3.0,True,False,-0.6912110933167621,3.0,LC5,0.3070095567986175,316.5129401221676
22.0,15.0,524.780356685791,120.0,25.0,3.0,True,False,-0.7351040472533283,3.0,LC5,0.6337619459982717,253.2103520977341
22.0,15.0,524.780356685791,120.0,30.0,3.0,True,False,-0.768071622709177,3.0,LC5,0.9605143351979262,211.00862674811174
22.0,15.0,524.780356685791,150.0,20.0,3.0,True,False,-0.6201791158150627,3.0,LC5,0.6098292733923767,256.9747267164216
22.0,15.0,524.780356685791,150.0,25.0,3.0,True,False,-0.6741067049209543,3.0,LC5,1.0122865917404709,205.5797813731373
22.0,15.0,524.780356685791,150.0,30.0,3.0,True,False,-0.7146247488832761,3.0,LC5,1.414743910088565,171.31648447761444
22.0,15.0,524.780356685791,180.0,20.0,3.0,True,False,-0.5513814538779382,3.0,LC5,0.9039015733807134,217.2829958092477
22.0,15.0,524.780356685791,180.0,25.0,3.0,True,False,-0.6150058182643321,3.0,LC5,1.3798769667258917,173.82639664739816
22.0,15.0,524.780356685791,180.0,30.0,3.0,True,False,-0.6628249478274484,3.0,LC5,1.8558523600710704,144.85533053949845
22.0,20.0,529.780356685791,120.0,20.0,3.0,True,False,-0.6924233172070193,3.0,LC5,0.3018487307936777,317.76766977980344
22.0,20.0,529.780356685791,120.0,25.0,3.0,True,False,-0.7361448189639165,3.0,LC5,0.6273109134920973,254.21413582384275
22.0,20.0,529.780356685791,120.0,30.0,3.0,True,False,-0.7689834309140947,3.0,LC5,0.9527730961905168,211.84511318653563
22.0,20.0,529.780356685791,150.0,20.0,3.0,True,False,-0.6216466627785056,3.0,LC5,0.6035646627150391,257.97864420988145
22.0,20.0,529.780356685791,150.0,25.0,3.0,True,False,-0.6753671683618663,3.0,LC5,1.004455828393799,206.38291536790516
22.0,20.0,529.780356685791,150.0,30.0,3.0,True,False,-0.7157293428720115,3.0,LC5,1.4053469940725591,171.98576280658762
22.0,20.0,529.780356685791,180.0,20.0,3.0,True,False,-0.5530878862577568,3.0,LC5,0.89659822938841,218.11970040882167
22.0,20.0,529.780356685791,180.0,25.0,3.0,True,False,-0.6164719998641828,3.0,LC5,1.3707477867355125,174.49576032705735
22.0,20.0,529.780356685791,180.0,30.0,3.0,True,False,-0.6641101775127977,3.0,LC5,1.8448973440826149,145.41313360588111
24.0,5.0,515.780356685791,120.0,20.0,3.0,True,False,-0.5964583981974991,3.0,LC5,0.43607535731253777,288.0666641089573
24.0,5.0,515.780356685791,120.0,25.0,3.0,True,False,-0.6537918182022355,3.0,LC5,0.7950941966406722,230.45333128716584
24.0,5.0,515.780356685791,120.0,30.0,3.0,True,False,-0.6968605421661682,3.0,LC5,1.1541130359688068,192.04444273930486
24.0,5.0,515.780356685791,150.0,20.0,3.0,True,False,-0.5037468593182812,3.0,LC5,0.7686137059804434,233.90378361948302
24.0,5.0,515.780356685791,150.0,25.0,3.0,True,False,-0.5741631244765588,3.0,LC5,1.2107671324755542,187.12302689558643
24.0,5.0,515.780356685791,150.0,30.0,3.0,True,False,-0.6270790610561625,3.0,LC5,1.6529205589706653,155.935855746322
24.0,5.0,515.780356685791,180.0,20.0,3.0,True,False,-0.4139931813849843,3.0,LC5,1.0914796673942724,197.79558177847508
24.0,5.0,515.780356685791,180.0,25.0,3.0,True,False,-0.49704310324080414,3.0,LC5,1.6143495842428401,158.23646542278007
24.0,5.0,515.780356685791,180.0,30.0,3.0,True,False,-0.5594750741724498,3.0,LC5,2.137219501091408,131.86372118565006
24.0,10.0,520.780356685791,120.0,20.0,3.0,True,False,-0.5980529202923264,3.0,LC5,0.4303646924577751,289.2167569371919
24.0,10.0,520.780356685791,120.0,25.0,3.0,True,False,-0.6551610399663821,3.0,LC5,0.787955865572219,231.37340554975353
24.0,10.0,520.780356685791,120.0,30.0,3.0,True,False,-0.698060248219333,3.0,LC5,1.1455470386866629,192.81117129146125
24.0,10.0,520.780356685791,150.0,20.0,3.0,True,False,-0.5056763253474222,3.0,LC5,0.761683078782226,234.82398314006863
24.0,10.0,520.780356685791,150.0,25.0,3.0,True,False,-0.5758206568871826,3.0,LC5,1.2021038484777828,187.8591865120549
24.0,10.0,520.780356685791,150.0,30.0,3.0,True,False,-0.6285318400706716,3.0,LC5,1.642524618173339,156.5493220933791
24.0,10.0,520.780356685791,180.0,20.0,3.0,True,False,-0.4162357098478392,3.0,LC5,1.0834014842051123,198.56251458318246
24.0,10.0,520.780356685791,180.0,25.0,3.0,True,False,-0.498970356323027,3.0,LC5,1.6042518552563902,158.85001166654598
24.0,10.0,520.780356685791,180.0,30.0,3.0,True,False,-0.561164769794958,3.0,LC5,2.125102226307668,132.37500972212166
