ligament_mm,support_span_mm,bearing_width_mm,Kt_bending,minimum_passing_diameter_mm,station_above_U_mm,ultimate_vm_MPa,MS_ultimate_strength,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,status
10.0,180.0,25.0,1.5,26.0,521.780356685791,1476.1233254991264,0.2614122193146673,146.74405237819423,1.8190950903000562,PASS
10.0,180.0,25.0,2.0,28.0,522.780356685791,1571.8714745820641,0.1845752213902072,136.36751655416234,2.0336068885275504,PASS
10.0,180.0,25.0,2.5,30.0,523.780356685791,1595.5639348677387,0.16698551484516155,127.37451950005658,2.2477880129700343,PASS
10.0,180.0,25.0,3.0,32.0,524.780356685791,1576.777789152093,0.18088928751418054,119.50564769508622,2.46163922432857,PASS
10.0,180.0,30.0,1.0,22.0,519.780356685791,1857.085278061811,0.002646470787447175,144.29754613843707,1.8668917016316935,PASS
10.0,180.0,30.0,1.5,26.0,521.780356685791,1683.4165915227263,0.10608390660789246,122.28671031516186,2.3829141083600676,PASS
10.0,180.0,30.0,2.0,28.0,522.780356685791,1793.336416793909,0.03828817759070913,113.63959712846861,2.6403282662330607,PASS
10.0,180.0,30.0,2.5,30.0,523.780356685791,1820.811539338728,0.022620935649513063,106.14543291671382,2.897345615564041,PASS
10.0,180.0,30.0,3.0,32.0,524.780356685791,1799.6674128794932,0.03463561471103915,99.58803974590519,3.153967069194284,PASS
15.0,120.0,20.0,1.0,24.0,525.780356685791,1569.867181137728,0.18608760178714912,290.36689220244017,0.424699057293644,PASS
15.0,120.0,20.0,1.5,26.0,526.780356685791,1843.9118618313394,0.009809654432558323,268.24331474177603,0.5422022278107292,PASS
15.0,120.0,20.0,2.0,30.0,528.780356685791,1599.9945389800196,0.16375397205230846,232.8455948176602,0.7766513380425164,PASS
15.0,120.0,20.0,2.5,32.0,529.780356685791,1646.3861146698673,0.13096191920530598,218.46527297361484,0.8935981538817133,PASS
15.0,120.0,20.0,3.0,34.0,530.780356685791,1646.5138108880772,0.13087420687695084,205.7767548722937,1.0103603920026698,PASS
15.0,120.0,25.0,1.0,24.0,525.780356685791,1826.6078822724498,0.01937587047063416,232.29351376195214,0.7808738216170548,PASS
15.0,120.0,25.0,1.5,28.0,527.780356685791,1721.9390491506483,0.08133908741917262,199.42419982499996,1.0743993855967409,PASS
15.0,120.0,25.0,2.0,32.0,529.780356685791,1537.730401895895,0.21087545495901439,174.7722183788919,1.3669976923521414,PASS
15.0,120.0,25.0,2.5,34.0,530.780356685791,1601.1845545402095,0.1628890590533365,164.62140389783497,1.512950490003337,PASS
15.0,120.0,25.0,3.0,36.0,531.780356685791,1618.1680509936612,0.15068394710710664,155.59845857649802,1.6586731088130824,PASS
15.0,120.0,30.0,1.0,26.0,526.780356685791,1641.8183731094043,0.13410839499475102,178.82887649451735,1.313303341716094,PASS
15.0,120.0,30.0,1.5,30.0,528.780356685791,1599.9945389800198,0.16375397205230846,155.2303965451068,1.6649770070637748,PASS
15.0,120.0,30.0,2.0,32.0,529.780356685791,1755.041827443839,0.06094337518550308,145.64351531574323,1.8403972308225698,PASS
15.0,120.0,30.0,2.5,34.0,530.780356685791,1827.8308362795506,0.018693832625123585,137.1845032481958,2.0155405880040047,PASS
15.0,120.0,30.0,3.0,36.0,531.780356685791,1847.4667900670795,0.007866560855685378,129.6653821470817,2.190407730575699,PASS
15.0,150.0,20.0,1.0,22.0,524.780356685791,1657.4474275632165,0.12341421455371115,256.9747267164216,0.6098292733923767,PASS
15.0,150.0,20.0,1.5,26.0,526.780356685791,1501.7416194731447,0.23989371797076808,217.77993729062246,0.8995571526776944,PASS
15.0,150.0,20.0,2.0,28.0,527.780356685791,1599.2541096310356,0.16429277172817924,202.38198594997272,1.044082311220928,PASS
15.0,150.0,20.0,2.5,30.0,528.780356685791,1623.4274089549058,0.14695611872087166,189.0370958103392,1.1883823162685063,PASS
15.0,150.0,20.0,3.0,32.0,529.780356685791,1604.3625587542908,0.16058554834747074,177.36031789429347,1.3324576912218755,PASS
15.0,150.0,25.0,1.0,24.0,525.780356685791,1488.528529934829,0.2508997728659741,188.59537210842817,1.1935078945217361,PASS
15.0,150.0,25.0,1.5,26.0,526.780356685791,1747.8534788296813,0.0653066876330779,174.22394983249796,1.3744464408471178,PASS
15.0,150.0,25.0,2.0,30.0,528.780356685791,1516.4542952626334,0.22786423950714707,151.22967664827135,1.7354778953356331,PASS
15.0,150.0,25.0,2.5,32.0,529.780356685791,1560.2566660961243,0.19339339511290765,141.88825431543478,1.915572114027344,PASS
15.0,150.0,25.0,3.0,34.0,530.780356685791,1560.2601059570154,0.19339076407257538,133.64582356351772,2.095386197335899,PASS
15.0,150.0,30.0,1.0,24.0,525.780356685791,1696.9721807356048,0.09724839401483809,157.1628100903568,1.6322094734260832,PASS
15.0,150.0,30.0,1.5,28.0,527.780356685791,1599.2541096310356,0.16429277172817924,134.9213239666485,2.066123466831392,PASS
15.0,150.0,30.0,2.0,30.0,528.780356685791,1730.4005226471786,0.07605145492645815,126.02473054022612,2.28257347440276,PASS
15.0,150.0,30.0,2.5,32.0,529.780356685791,1780.786129386958,0.04560562847656513,118.240211929529,2.4986865368328126,PASS
15.0,150.0,30.0,3.0,34.0,530.780356685791,1781.0600378987574,0.04544482520461979,111.37151963626478,2.7144634368030784,PASS
15.0,180.0,20.0,1.0,22.0,524.780356685791,1406.8503297615598,0.3235238750063636,217.2829958092477,0.9039015733807134,PASS
15.0,180.0,20.0,1.5,24.0,525.780356685791,1615.6365232405954,0.1524869444429593,199.32947329136042,1.075385193966858,PASS
15.0,180.0,20.0,2.0,26.0,526.780356685791,1689.8171438125732,0.10189437171820082,184.13803210626494,1.2466050758670337,PASS
15.0,180.0,20.0,2.5,28.0,527.780356685791,1689.0097891151047,0.10242108245892845,171.11679768062515,1.4175618244224628,PASS
15.0,180.0,20.0,3.0,30.0,528.780356685791,1646.8633230439466,0.13063420257511704,159.83172866066678,1.588256043131354,PASS
15.0,180.0,25.0,1.0,22.0,524.780356685791,1635.4894228713604,0.13849712138826575,173.82639664739816,1.3798769667258917,PASS
15.0,180.0,25.0,1.5,26.0,526.780356685791,1481.7238087527426,0.25664444952623056,147.31042568501195,1.8082563448337923,PASS
15.0,180.0,25.0,2.0,28.0,527.780356685791,1577.8502617807078,0.18008663122355517,136.89343814450012,2.0219522805280787,PASS
15.0,180.0,25.0,2.5,30.0,528.780356685791,1601.6401947252484,0.1625582363206206,127.86538292853342,2.2353200539141924,PASS
