Do_mm,wall_mm,Di_mm,h_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,limit_governing_case,limit_vm_MPa,MS_yield_limit,ultimate_governing_case,ultimate_vm_MPa,MS_ultimate,limit_shear_case,limit_tau_screen_MPa,MS_shear_limit,ultimate_shear_case,ultimate_tau_screen_MPa,MS_shear_ultimate,buckling_method,slenderness,Cc,Pcr_kN,MS_buckling,PASS
58.0,7.0,44.00000000000001,250.0,1121.548577331556,371512.966241078,743025.932482156,8.826587303599347,LC4+,390.4726360367881,2.8850353648266327,LC4+,585.7089540551822,2.1790533286342293,LC5,15.824120647743836,54.34843785999176,LC5,23.736180971615752,44.29061362131604,JOHNSON,27.472112789737803,51.647465077611216,1460.6982344619792,37.920816265973336,True
58.0,7.25,43.50000000000001,250.0,1155.9097469801943,379734.4129727905,759468.825945581,9.097009708734129,LC4+,381.9388289836596,2.9718402133575723,LC4+,572.9082434754895,2.250084147339837,LC5,15.35372467129485,56.04416205913367,LC5,23.030587006942277,45.67819369549852,JOHNSON,27.586206896551722,51.647465077611216,1503.3852677464151,39.05822722479124,True
58.0,7.5,43.0,250.0,1189.878217547134,387677.1967545757,775354.3935091514,9.364341572095945,LC4+,374.0362719974412,3.0557563893439132,LC4+,561.0544079961618,2.3187512181755072,LC5,14.915408768962505,57.72050655314253,LC5,22.373113153443757,47.049915711690346,JOHNSON,27.700405917797347,51.647465077611216,1545.4287239219454,40.178489846041714,True
58.0,7.75,42.5,250.0,1223.453989032375,395347.68667466484,790695.3733493297,9.62858289368479,LC4+,366.70429934734085,3.1368481435858593,LC4+,550.0564490210112,2.385107116395021,LC5,14.506078822004943,59.377471342018325,LC5,21.759118233007413,48.4057796698915,JOHNSON,27.8146900007274,51.647465077611216,1586.8301544020242,41.28164546767983,True
58.0,8.0,42.0,250.0,1256.6370614359173,402752.1781902115,805504.356380423,9.889733673500668,LC4+,359.8898130143565,3.2151790496484125,LC4+,539.8347195215348,2.4492038630829898,LC5,14.123027678111372,61.01505642576109,LC5,21.18454151716706,49.745785570102015,JOHNSON,27.92903867389728,51.647465077611216,1627.5911897238716,42.36773753594116,True
58.0,1.5,55.0,300.0,266.24997739173523,106316.94409723722,212633.88819447445,2.0953873220729564,LC4+,1485.3099047699545,0.0213356789234862,LC4+,2227.9648571549315,-0.16425970812765045,LC5,66.65735777279697,12.139440080208143,LC5,99.98603665919545,9.751763317665375,JOHNSON,30.02581453131455,51.647465077611216,335.64585930881924,7.9434015270135685,False
58.0,1.75,54.5,300.0,309.2505268377456,122429.38435137436,244858.76870274873,2.4338016462130576,LC4+,1289.524200640585,0.1764028928238912,LC4+,1934.2863009608777,-0.037371045291986316,LC5,57.38881088248425,14.261517792277157,LC5,86.08321632372638,11.488220667642306,JOHNSON,30.155299184572495,51.647465077611216,389.1689047118309,9.36954182552174,False
58.0,2.0,54.00000000000001,300.0,351.8583772020565,138104.41305180715,276208.8261036143,2.769125428580185,LC4+,1142.8892170215456,0.3273377484069846,LC4+,1714.3338255323183,0.08613618436994308,LC5,50.43938456468352,16.36421579921309,LC5,75.65907684702528,13.208819959628551,JOHNSON,30.285267907504128,51.647465077611216,442.0017853420275,10.777292441833932,True
58.0,2.25,53.50000000000001,300.0,394.0735284846694,153350.0191704796,306700.0383409592,3.1013586691743478,LC4+,1029.0235533990867,0.474213097444681,LC4+,1543.5353300986305,0.20632159412964013,LC5,45.036062351725384,18.447534101016004,LC5,67.55409352758807,14.913561193624169,JOHNSON,30.415710392278097,51.647465077611216,494.14487617460236,12.16666336729556,True
58.0,2.5,53.00000000000001,300.0,435.8959806855834,168174.11804825673,336348.23609651346,3.4305013679955416,LC4+,938.0983664039816,0.6171012063640253,LC4+,1407.1475496059722,0.32324431828161515,LC5,40.7150347477085,20.511472697685857,LC5,61.072552121562744,16.602444369629122,JOHNSON,30.546615843834033,51.647465077611216,545.5986110200795,13.537666160940034,True
