span_mm,bearing_width_mm,journal_diameter_mm,limit_governing_case,limit_governing_side,limit_radial_reaction_kN,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_side,ultimate_radial_reaction_kN,ultimate_vm_MPa,MS_ultimate,ultimate_bearing_case,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,ultimate_tau_transverse_MPa,MS_ultimate_shear,root_lever_mm,PASS
150.0,25.0,36.0,LC5,LEFT,44.568073723997365,178.99434033905158,7.475128303646329,LC5,LEFT,66.85211058599603,268.49151050857733,5.935042364926156,LC5,74.28012287332893,4.569261621922273,87.57073132417527,11.276090252706448,17.5,True
150.0,25.0,38.0,LC5,LEFT,44.568073723997365,152.60527750298456,8.940678493051012,LC5,LEFT,66.85211058599603,228.90791625447676,7.134275259969673,LC5,70.3706427221011,4.878665045362399,78.5953378089551,12.677989448231566,17.5,True
150.0,25.0,40.0,LC5,LEFT,44.568073723997365,131.19302549107414,10.563114687855192,LC5,LEFT,66.85211058599603,196.78953823661118,8.461885101642,LC5,66.85211058599603,5.188068468802527,70.93229237258195,14.155666978649938,17.5,True
150.0,30.0,22.0,LC5,LEFT,44.568073723997365,876.0235453442199,0.7316886150633295,LC5,LEFT,66.85211058599603,1314.0353180163297,0.41700909745019543,LC5,101.29107664544854,3.084125189409667,234.4869169341553,3.5845892610416046,20.0,True
150.0,30.0,24.0,LC5,LEFT,44.568073723997365,676.3958011509136,1.2427696881304788,LC5,LEFT,66.85211058599603,1014.5937017263701,0.8352173848819833,LC5,92.85015359166117,3.455409297537819,197.0341454793943,4.4560401123139775,20.0,True
150.0,30.0,26.0,LC5,LEFT,44.568073723997365,533.2892808030957,1.844609960499311,LC5,LEFT,66.85211058599603,799.9339212046435,1.3276922638759467,LC5,85.7078340846103,3.8266934056659707,167.8870825386555,5.403269298479599,20.0,True
150.0,30.0,28.0,LC5,LEFT,44.568073723997365,428.01062516764694,2.5443045354442035,LC5,LEFT,66.85211058599603,642.0159377514703,1.9002395275750859,LC5,79.58584593570957,4.197977513794122,144.75978035220805,6.4262768195384705,20.0,True
150.0,30.0,30.0,LC5,LEFT,44.568073723997365,348.8254106653765,3.3488804244689545,LC5,LEFT,66.85211058599603,523.2381159980646,2.5586092508728613,LC5,74.28012287332893,4.569261621922273,126.10185310681236,7.52506267549059,20.0,True
150.0,30.0,32.0,LC5,LEFT,44.568073723997365,288.11288245392274,4.265297362198341,LC5,LEFT,66.85211058599603,432.1693236808841,3.3084964572240434,LC5,69.63761519374587,4.940545730050425,110.83170683215931,8.69962686633596,20.0,True
150.0,30.0,34.0,LC5,LEFT,44.568073723997365,240.7765056110095,5.300448609594886,LC5,LEFT,66.85211058599603,361.16475841651425,4.1555417759022975,LC5,65.5412848882314,5.311829838178577,98.1761832146463,9.94996939207458,20.0,True
