level,ligament_mm,contact_regime,x_from_root_mm,q_N_per_mm,projected_pressure_MPa
limit,10.0,PARTIAL_ROOT_TRIANGULAR,15.524999999999999,2024.000401620791,59.52942357708209
limit,10.0,PARTIAL_ROOT_TRIANGULAR,16.099999999999998,1992.525074212219,58.603678653300555
limit,10.0,PARTIAL_ROOT_TRIANGULAR,16.674999999999997,1961.0497468036467,57.67793372951902
limit,10.0,PARTIAL_ROOT_TRIANGULAR,17.25,1929.5744193950748,56.75218880573749
limit,10.0,PARTIAL_ROOT_TRIANGULAR,17.825,1898.0990919865023,55.82644388195595
limit,10.0,PARTIAL_ROOT_TRIANGULAR,18.4,1866.6237645779306,54.90069895817443
limit,10.0,PARTIAL_ROOT_TRIANGULAR,18.974999999999998,1835.1484371693582,53.97495403439289
limit,10.0,PARTIAL_ROOT_TRIANGULAR,19.549999999999997,1803.6731097607862,53.04920911061136
limit,10.0,PARTIAL_ROOT_TRIANGULAR,20.125,1772.1977823522138,52.12346418682982
limit,10.0,PARTIAL_ROOT_TRIANGULAR,20.7,1740.7224549436414,51.19771926304828
limit,10.0,PARTIAL_ROOT_TRIANGULAR,21.275,1709.2471275350697,50.271974339266755
limit,10.0,PARTIAL_ROOT_TRIANGULAR,21.849999999999998,1677.7718001264973,49.34622941548521
limit,10.0,PARTIAL_ROOT_TRIANGULAR,22.424999999999997,1646.2964727179256,48.42048449170369
limit,10.0,PARTIAL_ROOT_TRIANGULAR,23.0,1614.8211453093531,47.49473956792215
limit,10.0,PARTIAL_ROOT_TRIANGULAR,23.575,1583.3458179007812,46.56899464414062
limit,10.0,PARTIAL_ROOT_TRIANGULAR,24.15,1551.870490492209,45.64324972035909
limit,10.0,PARTIAL_ROOT_TRIANGULAR,24.724999999999998,1520.3951630836368,44.71750479657755
limit,10.0,PARTIAL_ROOT_TRIANGULAR,25.299999999999997,1488.9198356750649,43.79175987279603
limit,10.0,PARTIAL_ROOT_TRIANGULAR,25.874999999999996,1457.4445082664927,42.86601494901449
limit,10.0,PARTIAL_ROOT_TRIANGULAR,26.45,1425.9691808579203,41.94027002523295
limit,10.0,PARTIAL_ROOT_TRIANGULAR,27.025,1394.4938534493483,41.01452510145142
limit,10.0,PARTIAL_ROOT_TRIANGULAR,27.599999999999998,1363.0185260407761,40.08878017766989
limit,10.0,PARTIAL_ROOT_TRIANGULAR,28.174999999999997,1331.543198632204,39.16303525388835
limit,10.0,PARTIAL_ROOT_TRIANGULAR,28.749999999999996,1300.067871223632,38.23729033010682
limit,10.0,PARTIAL_ROOT_TRIANGULAR,29.325,1268.5925438150596,37.31154540632528
limit,10.0,PARTIAL_ROOT_TRIANGULAR,29.9,1237.1172164064874,36.38580048254374
limit,10.0,PARTIAL_ROOT_TRIANGULAR,30.474999999999998,1205.6418889979154,35.46005555876222
limit,10.0,PARTIAL_ROOT_TRIANGULAR,31.049999999999997,1174.1665615893432,34.534310634980685
limit,10.0,PARTIAL_ROOT_TRIANGULAR,31.624999999999996,1142.6912341807713,33.608565711199155
limit,10.0,PARTIAL_ROOT_TRIANGULAR,32.199999999999996,1111.215906772199,32.68282078741762
limit,10.0,PARTIAL_ROOT_TRIANGULAR,32.775,1079.740579363627,31.757075863636086
limit,10.0,PARTIAL_ROOT_TRIANGULAR,33.349999999999994,1048.265251955055,30.831330939854556
limit,10.0,PARTIAL_ROOT_TRIANGULAR,33.925,1016.7899245464828,29.905586016073023
limit,10.0,PARTIAL_ROOT_TRIANGULAR,34.5,985.3145971379104,28.97984109229148
limit,10.0,PARTIAL_ROOT_TRIANGULAR,35.074999999999996,953.8392697293386,28.05409616850996
limit,10.0,PARTIAL_ROOT_TRIANGULAR,35.65,922.3639423207662,27.128351244728417
limit,10.0,PARTIAL_ROOT_TRIANGULAR,36.224999999999994,890.8886149121942,26.202606320946888
limit,10.0,PARTIAL_ROOT_TRIANGULAR,36.8,859.4132875036221,25.276861397165355
limit,10.0,PARTIAL_ROOT_TRIANGULAR,37.375,827.9379600950497,24.351116473383815
