,ID_mm,wall_mm,OD_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,physical_pressure_MPa,virtual_pressure_MPa,limit_governing_case,limit_governing_surface,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_surface,ultimate_vm_MPa,MS_ultimate,limit_tau_screen_MPa,MS_limit_shear,ultimate_tau_screen_MPa,MS_ultimate_shear,virtual_vm_MPa,virtual_governing_surface,MS_virtual_vs_yield,PASS
31,64.0,3.5,71.00000000000001,742.2012644105897,423843.3095574721,847686.6191149442,5.841123950911341,9.292136857325454,10.514733499585716,LC4+,outer,584.6567966470564,1.5946846230127338,LC4+,outer,873.5101712265994,1.1316294432901048,23.912004534368425,35.6276427014652,35.86800680155264,28.971729602341547,104.11141607243204,inner,13.57092850360039,True
32,64.0,3.75,71.50000000000001,798.160883552658,459354.05974836,918708.11949672,6.281526153559419,9.292136857325454,10.514733499585716,LC4+,outer,543.2745759304034,1.7923265089333689,LC4+,outer,811.678138457677,1.2940127518256297,22.235517131589827,38.38925068292488,33.35327569738474,31.23150286601016,98.0046519925766,inner,14.478857066039128,True
33,64.0,4.0,72.00000000000001,854.5132017764248,495617.6570303263,991235.3140606524,6.725018897980463,9.292136857325454,10.514733499585716,LC4+,outer,507.0610946594589,1.9917499409391957,LC4+,outer,757.5688596229649,1.4578623795686383,20.76915835016376,41.17023836951759,31.15373752524563,33.507134187669415,92.6652819650148,inner,15.37074822232488,True
34,64.0,4.25,72.50000000000001,911.2582190818906,532644.6674630379,1065289.3349260758,7.171602184174479,9.292136857325454,10.514733499585716,LC4+,outer,475.1047679148172,2.1929799539961405,LC4+,outer,709.8203186260121,1.623199070441156,19.475840797223157,43.97060576124338,29.21376119583473,35.79862356731934,87.95781291436892,inner,16.246904507242252,True
35,64.0,4.5,73.0,968.3959354690536,570445.730737239,1140891.461474478,7.621276012141451,9.292136857325454,10.514733499585716,LC4+,outer,446.6965688668506,2.396041307969349,LC4+,outer,667.3731449843428,1.790043342309922,18.326718803713057,46.79035285810213,27.49007820556959,38.105971004959855,83.77686288938594,inner,17.10762479854322,True
36,64.0,4.75,73.5,1025.926350937916,609031.5601747539,1218063.1203495078,8.074040381881401,9.292136857325454,10.514733499585716,LC4+,outer,421.276724380869,2.600958496412222,LC4+,outer,629.3909707993972,1.958415494323109,17.299019548308678,49.62947966009398,25.948529322463013,40.42917650059108,80.03923704930857,inner,17.953204152426448,True
37,64.0,5.0,74.0,1083.849465488478,648412.9427284818,1296825.8854569637,8.529895293394322,9.292136857325454,10.514733499585716,LC4+,outer,398.3974019357084,2.807755755005668,LC4+,outer,595.2046806278013,2.128335613953887,16.374524844187107,52.48798616721891,24.561787266280657,42.76824005421297,76.67838085464763,inner,18.783933660201328,True
38,64.0,5.25,74.5,1142.165279120739,688600.7389824014,1377201.4779648029,8.988840746680216,9.292136857325454,10.514733499585716,LC4+,outer,377.6960574178395,3.016457069663732,LC4+,outer,564.2725899533696,2.2998235837644923,15.538486701033658,55.365872379476905,23.30773005155049,45.12316166582553,73.64041806092888,inner,19.60010032459157,True
39,64.0,5.5,75.0,1200.8737918346983,729605.8831515687,1459211.7663031374,9.450876741739076,9.292136857325454,10.514733499585716,LC4+,outer,358.87605169416776,3.227086184320762,LC4+,outer,536.1514840686058,2.472899087903558,14.778838642889598,58.263138296867936,22.1682579643344,47.49394133542874,70.88126925995634,inner,20.40198695421801,True
40,64.0,5.75,75.5,1259.9750036303562,771439.3830821172,1542878.7661642344,9.916003278570903,9.292136857325454,10.514733499585716,LC4+,outer,341.6923237264704,3.4396666084145933,LC4+,outer,510.4752120235887,2.6475816183489007,14.085612769193206,61.179783919392,21.128419153789807,49.880579063022594,68.36452210633304,inner,21.1898720748824,True
