journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,level,case,support_span_mm,Fx_thrust_kN,My_kNm,Mz_kNm,RLy_kN,RRy_kN,RLz_kN,RRz_kN,RL_kN,RR_kN,Rmax_kN
22.0,10.0,21.0,519.780356685791,limit,LC2B,150.0,6.255,-7.316976131069622,-0.7505999999999999,-5.004,5.004,36.269840873797484,-61.28984087379748,36.61340428054445,61.49377700495731,61.49377700495731
22.0,10.0,21.0,519.780356685791,limit,LC2B,180.0,6.255,-7.316976131069622,-0.7505999999999999,-4.17,4.17,28.139867394831235,-53.15986739483123,28.44716219587968,53.32316946165185,53.32316946165185
22.0,10.0,21.0,519.780356685791,limit,LC3,120.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,10.0,21.0,519.780356685791,limit,LC3,150.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,10.0,21.0,519.780356685791,limit,LC3,180.0,0.0,-0.0,-0.0,-0.0,0.0,-12.51,-12.51,12.51,12.51,12.51
22.0,10.0,21.0,519.780356685791,limit,LC4+,120.0,0.0,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,10.0,21.0,519.780356685791,limit,LC4+,150.0,0.0,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,10.0,21.0,519.780356685791,limit,LC4+,180.0,0.0,-0.0,-0.0,-4.17,-4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,10.0,21.0,519.780356685791,limit,LC4-,120.0,0.0,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,10.0,21.0,519.780356685791,limit,LC4-,150.0,0.0,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,10.0,21.0,519.780356685791,limit,LC4-,180.0,0.0,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,10.0,21.0,519.780356685791,limit,LC5,120.0,8.87376,10.380350137944106,1.0648512,8.87376,-8.87376,-92.04901781620089,80.9568178162009,92.47575518731853,81.44169673737859,92.47575518731853
22.0,10.0,21.0,519.780356685791,limit,LC5,150.0,8.87376,10.380350137944106,1.0648512,7.099008000000001,-7.099008000000001,-74.7484342529607,63.65623425296071,75.08478100023501,64.05085537174247,75.08478100023501
22.0,10.0,21.0,519.780356685791,limit,LC5,180.0,8.87376,10.380350137944106,1.0648512,5.915840000000001,-5.915840000000001,-63.21471187746726,52.122511877467254,63.49092030091232,52.457157827338634,63.49092030091232
22.0,10.0,21.0,519.780356685791,ultimate,LC0,120.0,0.0,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106
22.0,10.0,21.0,519.780356685791,ultimate,LC0,150.0,0.0,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106
22.0,10.0,21.0,519.780356685791,ultimate,LC0,180.0,0.0,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106
22.0,10.0,21.0,519.780356685791,ultimate,LC1,120.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,10.0,21.0,519.780356685791,ultimate,LC1,150.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,10.0,21.0,519.780356685791,ultimate,LC1,180.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,10.0,21.0,519.780356685791,ultimate,LC2A,120.0,9.3825,10.975464196604435,1.1259,9.3825,-9.3825,-110.22720163837029,72.69720163837029,110.62579847068197,73.30016665942765,110.62579847068197
22.0,10.0,21.0,519.780356685791,ultimate,LC2A,150.0,9.3825,10.975464196604435,1.1259,7.505999999999999,-7.505999999999999,-91.93476131069623,54.40476131069623,92.24066550743598,54.92010642081668,92.24066550743598
