level,ligament_mm,x_from_journal_root_mm,q_N_per_mm,projected_pressure_MPa
limit,10.0,34.85,1446.669920187066,40.18527556075183
limit,10.0,35.699999999999996,1400.3352964088328,38.89820267802313
limit,10.0,36.55,1354.0006726305994,37.61112979529443
limit,10.0,37.4,1307.6660488523657,36.324056912565716
limit,10.0,38.25,1261.3314250741323,35.03698402983701
limit,10.0,39.1,1214.9968012958989,33.7499111471083
limit,10.0,39.949999999999996,1168.662177517666,32.462838264379606
limit,10.0,40.8,1122.327553739432,31.17576538165089
limit,10.0,41.65,1075.9929299611986,29.888692498922182
limit,10.0,42.5,1029.6583061829651,28.601619616193474
ultimate,10.0,0.0,5019.584242641954,139.43289562894316
ultimate,10.0,0.85,4950.082306974604,137.50228630485012
ultimate,10.0,1.7,4880.580371307254,135.57167698075705
ultimate,10.0,2.55,4811.078435639904,133.64106765666398
ultimate,10.0,3.4,4741.576499972553,131.71045833257094
ultimate,10.0,4.25,4672.074564305203,129.77984900847787
ultimate,10.0,5.1,4602.572628637853,127.84923968438481
ultimate,10.0,5.95,4533.070692970503,125.91863036029174
ultimate,10.0,6.8,4463.568757303153,123.98802103619869
ultimate,10.0,7.6499999999999995,4394.066821635803,122.05741171210563
ultimate,10.0,8.5,4324.5648859684525,120.12680238801256
ultimate,10.0,9.35,4255.062950301102,118.19619306391951
ultimate,10.0,10.2,4185.561014633752,116.26558373982645
ultimate,10.0,11.049999999999999,4116.059078966402,114.33497441573338
ultimate,10.0,11.9,4046.557143299052,112.40436509164033
ultimate,10.0,12.75,3977.0552076317017,110.47375576754727
ultimate,10.0,13.6,3907.5532719643516,108.5431464434542
ultimate,10.0,14.45,3838.0513362970014,106.61253711936115
ultimate,10.0,15.299999999999999,3768.5494006296512,104.6819277952681
ultimate,10.0,16.15,3699.047464962301,102.75131847117503
ultimate,10.0,17.0,3629.545529294951,100.82070914708197
ultimate,10.0,17.849999999999998,3560.043593627601,98.89009982298892
ultimate,10.0,18.7,3490.5416579602506,96.95949049889585
ultimate,10.0,19.55,3421.0397222929005,95.02888117480279
ultimate,10.0,20.4,3351.5377866255503,93.09827185070974
ultimate,10.0,21.25,3282.0358509582,91.16766252661667
ultimate,10.0,22.099999999999998,3212.53391529085,89.23705320252361
ultimate,10.0,22.95,3143.0319796235,87.30644387843056
ultimate,10.0,23.8,3073.5300439561497,85.37583455433749
ultimate,10.0,24.65,3004.0281082887996,83.44522523024443
ultimate,10.0,25.5,2934.5261726214494,81.51461590615138
ultimate,10.0,26.349999999999998,2865.0242369540993,79.58400658205831
ultimate,10.0,27.2,2795.522301286749,77.65339725796525
ultimate,10.0,28.05,2726.020365619399,75.7227879338722
ultimate,10.0,28.9,2656.518429952049,73.79217860977913
ultimate,10.0,29.75,2587.0164942846986,71.86156928568607
ultimate,10.0,30.599999999999998,2517.5145586173485,69.93095996159302
ultimate,10.0,31.45,2448.0126229499983,68.00035063749995
ultimate,10.0,32.3,2378.5106872826486,66.06974131340691
ultimate,10.0,33.15,2309.008751615298,64.13913198931384
ultimate,10.0,34.0,2239.506815947948,62.20852266522078
ultimate,10.0,34.85,2170.0048802805977,60.277913341127714
