OD_mm,ID_mm,wall_mm,A_m2,I_m4,J_m4,c_m,mass_per_m_kg,limit_governing_case,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_vm_MPa,MS_ultimate,limit_shear_governing_case,limit_tau_screen_MPa,MS_limit_shear,ultimate_shear_governing_case,ultimate_tau_screen_MPa,MS_ultimate_shear,PASS
50.0,39.0,5.5,0.0007689048019661023,1.9323538804410607e-07,3.8647077608821213e-07,0.025,6.051280791473225,LC2A,400.3928982565846,2.788778488842871,LC2A,600.5893473848769,2.1002880888707653,LC2A,67.08249349540526,12.056168796418577,LC2A,100.6237402431079,9.683623950310432,True
50.0,38.5,5.75,0.0007993389807977534,1.989479785176158e-07,3.978959570352316e-07,0.025,6.290797778878319,LC2A,388.89602016169613,2.9007856119722133,LC2A,583.3440302425441,2.19194146758614,LC2A,64.52838234537141,12.572947694131773,LC2A,96.79257351805713,10.10649466335898,True
50.0,38.0,6.0,0.0008293804605477058,2.0444228352500944e-07,4.0888456705001887e-07,0.025,6.527224224510444,LC2A,378.444594389647,3.0085127981458095,LC2A,567.6668915844704,2.2800926522291802,LC2A,62.191061678031964,13.083058477035767,LC2A,93.28659251704795,10.523908980110129,True
50.0,37.5,6.25,0.0008590292412159595,2.0972393584374006e-07,4.194478716874801e-07,0.025,6.760560128369601,LC2A,368.9139093897316,3.112070489587846,LC2A,553.3708640845973,2.3648320156504377,LC2A,60.0445816064016,13.58650114513056,LC2A,90.06687240960242,10.935866900563873,True
50.0,37.0,6.5,0.0008882853228025146,2.1479849462018297e-07,4.2959698924036595e-07,0.025,6.99080549045579,LC2A,360.198413874012,3.2115676848333017,LC2A,540.297620811018,2.446248749356013,LC2A,58.06698596993965,14.08327569841615,LC2A,87.10047895490949,11.342368424720222,True
50.0,36.5,6.75,0.0009171487053073707,2.1967144536963568e-07,4.3934289073927137e-07,0.025,7.217960310769008,LC2A,352.20816676708574,3.3071119387279504,LC2A,528.3122501506285,2.5244308635075567,LC2A,56.2395727955485,14.573382136892535,LC2A,84.35935919332275,11.743413552579169,True
50.0,36.0,7.0,0.0009456193887305282,2.2434819997631778e-07,4.4869639995263556e-07,0.025,7.442024589309257,LC2A,344.8660478349396,3.398809362428363,LC2A,517.2990717524093,2.5994651869222647,LC2A,54.5463132325596,15.05682046055972,LC2A,81.8194698488394,12.139002284140714,True
50.0,35.5,7.25,0.000973697373071987,2.2883409669337117e-07,4.5766819338674233e-07,0.025,7.662998326076537,LC2A,338.10554538289944,3.4867646234019034,LC2A,507.1583180743491,2.6714373670728833,LC2A,52.97339070941864,15.533590669417702,LC2A,79.46008606412796,12.529134619404859,True
50.0,35.0,7.5,0.0010013826583317469,2.3313440014285978e-07,4.6626880028571956e-07,0.025,7.880881521070847,LC2A,331.86898637569004,3.571080945426731,LC2A,497.803479563535,2.740431870087705,LC2A,51.50883226039355,16.003692763466475,LC2A,77.26324839059032,12.913810558371601,True
50.0,34.5,7.75,0.0010286752445098082,2.3725430131576993e-07,4.7450860263153987e-07,0.025,8.09567417429219,LC2A,326.10610908057214,3.6518601085918005,LC2A,489.1591636208582,2.806531980750575,LC2A,50.14221120977421,16.467126742706053,LC2A,75.21331681466133,13.293030101040943,True
