journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,level,case,brace_effective_arm_mm,Mx_kNm,brace_force_abs_kN
22.0,20.0,31.0,529.780356685791,ultimate,LC2A,200.0,4.5036,22.517999999999997
22.0,20.0,31.0,529.780356685791,ultimate,LC2A,250.0,4.5036,18.0144
22.0,20.0,31.0,529.780356685791,ultimate,LC2A,300.0,4.5036,15.011999999999999
22.0,20.0,31.0,529.780356685791,ultimate,LC2B,150.0,4.5036,30.023999999999997
22.0,20.0,31.0,529.780356685791,ultimate,LC2B,200.0,4.5036,22.517999999999997
22.0,20.0,31.0,529.780356685791,ultimate,LC2B,250.0,4.5036,18.0144
22.0,20.0,31.0,529.780356685791,ultimate,LC2B,300.0,4.5036,15.011999999999999
22.0,20.0,31.0,529.780356685791,ultimate,LC3,150.0,4.5036,30.023999999999997
22.0,20.0,31.0,529.780356685791,ultimate,LC3,200.0,4.5036,22.517999999999997
22.0,20.0,31.0,529.780356685791,ultimate,LC3,250.0,4.5036,18.0144
22.0,20.0,31.0,529.780356685791,ultimate,LC3,300.0,4.5036,15.011999999999999
22.0,20.0,31.0,529.780356685791,ultimate,LC4+,150.0,16.755648262139246,111.70432174759497
22.0,20.0,31.0,529.780356685791,ultimate,LC4+,200.0,16.755648262139246,83.77824131069623
22.0,20.0,31.0,529.780356685791,ultimate,LC4+,250.0,16.755648262139246,67.02259304855698
22.0,20.0,31.0,529.780356685791,ultimate,LC4+,300.0,16.755648262139246,55.85216087379749
22.0,20.0,31.0,529.780356685791,ultimate,LC4-,150.0,-12.762456262139244,85.08304174759496
22.0,20.0,31.0,529.780356685791,ultimate,LC4-,200.0,-12.762456262139244,63.812281310696214
22.0,20.0,31.0,529.780356685791,ultimate,LC4-,250.0,-12.762456262139244,51.049825048556976
22.0,20.0,31.0,529.780356685791,ultimate,LC4-,300.0,-12.762456262139244,42.54152087379748
22.0,20.0,31.0,529.780356685791,ultimate,LC5,150.0,1.9965960000000005,13.310640000000003
22.0,20.0,31.0,529.780356685791,ultimate,LC5,200.0,1.9965960000000005,9.982980000000001
22.0,20.0,31.0,529.780356685791,ultimate,LC5,250.0,1.9965960000000005,7.986384000000002
22.0,20.0,31.0,529.780356685791,ultimate,LC5,300.0,1.9965960000000005,6.6553200000000015
24.0,5.0,17.0,515.780356685791,limit,LC0,150.0,0.894331914893617,5.962212765957447
24.0,5.0,17.0,515.780356685791,limit,LC0,200.0,0.894331914893617,4.4716595744680845
24.0,5.0,17.0,515.780356685791,limit,LC0,250.0,0.894331914893617,3.577327659574468
24.0,5.0,17.0,515.780356685791,limit,LC0,300.0,0.894331914893617,2.9811063829787234
24.0,5.0,17.0,515.780356685791,limit,LC1,150.0,3.0023999999999997,20.016
24.0,5.0,17.0,515.780356685791,limit,LC1,200.0,3.0023999999999997,15.011999999999999
24.0,5.0,17.0,515.780356685791,limit,LC1,250.0,3.0023999999999997,12.009599999999999
24.0,5.0,17.0,515.780356685791,limit,LC1,300.0,3.0023999999999997,10.008
24.0,5.0,17.0,515.780356685791,limit,LC2A,150.0,3.0023999999999997,20.016
24.0,5.0,17.0,515.780356685791,limit,LC2A,200.0,3.0023999999999997,15.011999999999999
24.0,5.0,17.0,515.780356685791,limit,LC2A,250.0,3.0023999999999997,12.009599999999999
24.0,5.0,17.0,515.780356685791,limit,LC2A,300.0,3.0023999999999997,10.008
24.0,5.0,17.0,515.780356685791,limit,LC2B,150.0,3.0023999999999997,20.016
