upper_OD_mm,taper_start_A_mm,Kt_peak_sensitivity,station_A_mm,station_U_mm,profile_OD_mm,local_Kt_sensitivity,limit_case,limit_vm_MPa,MS_limit,ultimate_case,ultimate_vm_MPa,MS_ultimate,station_PASS
90.0,300.0,1.5,750.0,275.0,85.8775728464169,1.443637020893606,LC4+,308.6579210410984,0.6296358062135219,LC4+,462.9868815616476,0.2354561711784422,True
90.0,300.0,1.5,760.0,285.0,86.189964600176,1.433230410055441,LC4+,303.9478365389094,0.6548892261505181,LC4+,455.92175480836414,0.25460124235665527,True
90.0,300.0,1.5,770.0,295.0,86.49462885605674,1.4219427030736904,LC4+,299.2716166413413,0.6807474281893382,LC4+,448.907424962012,0.2742048097074903,True
90.0,300.0,1.5,780.0,305.0,86.790937922639,1.4097738999483542,LC4+,294.6302286839685,0.7072246871842087,LC4+,441.94534302595275,0.29427769525429737,True
90.0,300.0,1.5,790.0,315.0,87.07826410850271,1.3967240006794324,LC4+,290.02409058691217,0.7343386853902223,LC4+,435.03613588036836,0.314833304232216,True
90.0,300.0,1.5,800.0,325.0,87.35597972222774,1.3827930052669253,LC4+,285.4531002562848,0.7621108320364982,LC4+,428.17965038442725,0.3358878673623287,True
90.0,300.0,1.5,810.0,335.0,87.62345707239402,1.3679809137108325,LC4+,280.91665972283704,0.7905666417088923,LC4+,421.3749895842557,0.35746072771038584,True
90.0,300.0,1.5,820.0,345.0,87.88006846758145,1.3522877260111543,LC4+,276.41369417877456,0.8197361802005274,LC4+,414.6205412681619,0.3795746786941041,True
90.0,300.0,1.5,830.0,355.0,88.12518621636991,1.3357134421678905,LC4+,271.9426660293713,0.849654588389132,LC4+,407.91399904405705,0.40225636124398045,True
90.0,300.0,1.5,840.0,365.0,88.35818262733935,1.318258062181041,LC4+,267.50158402716596,0.8803626970258169,LC4+,401.25237604074897,0.4255367298857087,True
90.0,300.0,1.5,850.0,375.0,88.57843000906962,1.2999215860506061,LC4+,263.088007503113,0.9119077481859308,LC4+,394.63201125466964,0.4494515996850257,True
90.0,300.0,1.5,860.0,385.0,88.78530067014066,1.2807040137765857,LC4+,258.6990456507032,0.9443442426886768,LC4+,388.04856847605487,0.474042288691747,True
90.0,300.0,1.5,870.0,395.0,88.97816691913235,1.2606053453589796,LC4+,254.3313517551098,0.9777349372338802,LC4+,381.49702763266475,0.4993563738870501,True
90.0,300.0,1.5,880.0,405.0,89.15640106462463,1.239625580797788,LC4+,249.981112188901,1.0121520205890695,LC4+,374.97166828335156,0.5254485828720312,True
90.0,300.0,1.5,890.0,415.0,89.31937541519737,1.2177647200930108,LC4+,245.6440299175113,1.047678505229337,LC4+,368.46604487626695,0.5523818488948715,True
90.0,300.0,1.5,900.0,425.0,89.46646227943049,1.1950227632446484,LC4+,241.31530216984928,1.08440987984245,LC4+,361.97295325477404,0.58022856364464,True
90.0,300.0,1.5,910.0,435.0,89.59703396590388,1.1713997102527003,LC4+,236.98959183015015,1.1224560796766925,LC4+,355.4843877452253,0.6090720710073794,True
90.0,300.0,1.5,920.0,445.0,89.71046278319744,1.1468955611171663,LC4+,232.66099199392684,1.161943846663947,LC4+,348.9914879908904,0.6390084563177962,True
